Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
152,20969581,319,57.64,11251.0,22.19
153,21071421,704,326.52,11316.0,22.19
154,21149354,671,277.06,11372.0,22.19
155,21330559,668,291.28,11475.0,22.19
156,21445877,632,232.56,11540.0,22.19
157,21474487,335,61.77,11567.0,22.19
158,21517484,220,37.58,11609.0,22.19
159,21606833,671,277.06,11659.0,22.19
160,21678159,449,112.05,11711.0,22.19
161,21680073,481,129.57,11729.0,22.19
162,21694565,423,97.36,11759.0,22.19
163,21717905,665,286.02,11791.0,22.19
164,21990490,412,92.93,11916.0,22.19
165,22104461,152,26.78,11966.0,22.19
166,22153346,684,283.21,12003.0,22.19
167,22270587,63,17.91,12068.0,22.19
168,22403525,225,38.48,12139.0,22.19
169,22505858,679,318.29,12201.0,22.19
170,22740928,679,318.29,12320.0,22.19
171,22947511,799,620.61,12428.0,22.19
172,23327724,432,101.61,12583.0,22.19
173,23413348,355,68.3,12659.0,22.19
174,23432281,444,109.09,12686.0,22.19
175,23532640,355,68.3,12738.0,22.19
176,23591615,633,241.23,12785.0,22.19
177,23662826,344,64.67,12838.0,22.19
178,23728660,81,20.25,12882.0,22.19
179,23823154,327,59.28,12939.0,22.19
180,24016272,307,54.48,13025.0,22.19
181,24130926,304,53.73,13086.0,22.19
182,24185732,355,68.3,13128.0,22.19
183,24280606,355,68.3,13199.0,22.19
184,24520894,376,76.43,13306.0,22.19
185,24776927,575,187.3,13422.0,22.19
186,24812448,636,231.85,13451.0,22.19
187,24813346,655,252.34,13471.0,22.19
188,25036058,408,90.57,13575.0,22.19
189,25254916,591,188.65,13687.0,22.19
190,25260920,639,249.88,13709.0,22.19
191,25377045,615,227.36,13772.0,22.19
192,25616679,440,109.25,13888.0,22.19
193,25796066,280,48.67,13984.0,22.19
194,25829866,638,261.42,14009.0,22.19
195,26058523,65,18.22,14111.0,22.19
196,26075891,88,20.96,14135.0,22.19
197,26232530,391,82.35,14210.0,22.19
198,26448225,35,12.75,14332.0,22.19
199,26529872,654,259.18,14375.0,22.19
200,26574176,671,277.06,14410.0,22.19
201,26576168,696,307.73,14440.0,22.19
202,26684189,312,55.68,14514.0,22.19
203,26849699,327,59.28,14613.0,22.19
204,27157080,455,117.03,14752.0,22.19
205,27244383,543,164.77,14810.0,22.19
206,27457983,499,141.24,14913.0,22.19
207,27470793,608,202.86,14934.0,22.19
208,28100315,147,26.19,15232.0,22.19
209,28207899,657,260.46,15301.0,22.19
210,28377756,252,43.42,15400.0,22.19
211,28432284,652,262.1,15443.0,22.19
212,28490525,620,217.12,15490.0,22.19
213,28665662,113,23.02,15561.0,22.19
214,28856584,92,21.32,15649.0,22.19
215,28972189,408,90.57,15713.0,22.19
216,29002223,287,50.23,15740.0,22.19
217,29270172,792,615.27,15881.0,22.19
218,29454595,312,55.68,15969.0,22.19
219,29599744,76,19.69,16054.0,22.19
220,29640110,220,37.58,16087.0,22.19
221,29708886,652,262.1,16130.0,22.19
222,29741248,70,18.93,16160.0,22.19
223,29818851,63,17.91,16214.0,22.19
224,30033642,353,67.64,16306.0,22.19
225,30176637,638,261.42,16378.0,22.19
226,30250830,352,66.89,16435.0,22.19
227,30316798,696,307.73,16483.0,22.19
228,30544185,639,249.88,16596.0,22.19
229,30548544,632,232.56,16617.0,22.19
230,30590533,595,212.63,16653.0,22.19
231,30601437,460,119.54,16677.0,22.19
232,30624121,463,119.23,16703.0,22.19
233,30814663,615,227.36,16809.0,22.19
234,30899270,556,174.47,16856.0,22.19
235,30940610,512,144.44,16893.0,22.19
236,31234733,163,28.2,17029.0,22.19
237,31404060,364,71.71,17111.0,22.19
238,31418460,391,82.35,17133.0,22.19
239,31971139,280,48.67,17354.0,22.19
240,32074268,455,117.03,17410.0,22.19
241,32126252,632,232.56,17454.0,22.19
242,32205747,608,202.86,17507.0,22.19
243,32302652,655,252.34,17574.0,22.19
244,32522966,451,113.08,17683.0,22.19
245,32561672,44,14.51,17724.0,22.19
246,32677551,622,244.71,17788.0,22.19
247,32737587,156,27.28,17833.0,22.19
248,33096910,199,33.86,17990.0,22.19
249,33097248,526,158.17,18010.0,22.19
250,33223248,60,17.43,18075.0,22.19
251,33466178,688,328.69,18170.0,22.19
252,33716126,521,150.31,18309.0,22.19
253,33742543,664,270.86,18346.0,22.19
254,33829823,444,109.09,18406.0,22.19
255,34021987,433,104.37,18491.0,22.19
256,34085903,199,33.86,18551.0,22.19
257,34252317,608,202.86,18634.0,22.19
258,34434913,344,64.67,18719.0,22.19
259,34512781,700,294.28,18771.0,22.19
260,34587677,295,51.75,18827.0,22.19
261,34623570,206,35.07,18860.0,22.19
262,34794451,643,246.01,18950.0,22.19
263,34960103,652,262.1,19024.0,22.19
264,35056954,657,260.46,19073.0,22.19
265,35137845,108,22.63,19137.0,22.19
266,35347327,67,18.51,19239.0,22.19
267,35383461,280,48.67,19279.0,22.19
268,35403483,670,272.62,19304.0,22.19
269,35521833,412,92.93,19356.0,22.19
270,35543900,536,160.18,19379.0,22.19
271,35901902,636,231.85,19540.0,22.19
272,36046777,483,132.6,19615.0,22.19
273,36170274,632,232.56,19680.0,22.19
274,36322114,179,30.55,19760.0,22.19
275,36427900,79,20.03,19823.0,22.19
276,36619498,262,45.24,19916.0,22.19
277,36632856,159,27.66,19937.0,22.19
278,36917124,615,227.36,20065.0,22.19
279,36962494,287,50.23,20098.0,22.19
280,37614539,99,21.91,20384.0,22.19
281,37784698,664,270.86,20486.0,22.19
282,38047595,638,261.42,20607.0,22.19
283,38102805,140,25.42,20650.0,22.19
284,38132545,216,36.85,20683.0,22.19
285,38218393,455,117.03,20742.0,22.19
286,38288483,615,227.36,20790.0,22.19
287,38300593,423,97.36,20810.0,22.19
288,38421530,739,495.61,20893.0,22.19
289,38434007,675,317.99,20917.0,22.19
290,38468031,670,272.62,20950.0,22.19
291,38498883,99,21.91,20986.0,22.19
292,38517034,280,48.67,21014.0,22.19
293,38567218,624,242.54,21053.0,22.19
294,38743047,184,31.36,21151.0,22.19
295,38927484,327,59.28,21242.0,22.19
296,39150402,344,64.67,21345.0,22.19
297,39157733,527,155.96,21374.0,22.19
298,39541568,755,529.8,21556.0,22.19
299,39568531,263,45.37,21584.0,22.19
300,39682110,608,202.86,21643.0,22.19
301,39783557,467,121.56,21706.0,22.19
302,39854690,515,147.53,21759.0,22.19
303,39956130,638,261.42,21808.0,22.19
304,40051339,723,388.29,21861.0,22.19
305,40092244,159,27.66,21896.0,22.19
